BillingCity,BillingCountry,BillingPostalCode,BillingState,BillingStreet,CreatedDate,Errors,ExternalID__c,Id,Industry,Name,Phone,Website
,,,,,2025-03-18T12:51:45.000+0000,,Play-1,001F900001r1qrwIAA,,Rodriguez Household - 1388494821,,
Austin,,,TX,"312 Constitution Place
Austin, TX 78767
USA",2025-03-18T12:51:45.000+0000,,Play-2,001F900001r1qrxIAA,Electronics,Edge Communications,(512) 757-6000,http://edgecomm.com
Burlington,USA,27215,NC,525 S. Lexington Ave,2025-03-18T12:51:45.000+0000,,Play-3,001F900001r1qryIAA,Apparel,Burlington Textiles Corp of America,(336) 222-7000,www.burlington.com
Paris,France,75251,,2 Place Jussieu,2025-03-18T12:51:45.000+0000,,Play-4,001F900001r1qrzIAA,Construction,Pyramid Construction Inc.,(014) 427-4427,www.pyramid.com
Lawrence,USA,66045,KS,1301 Hoch Drive,2025-03-18T12:51:45.000+0000,,Play-5,001F900001r1qs0IAA,Consulting,Dickenson plc,(785) 241-6200,dickenson-consulting.com
Chicago,,,IL,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",2025-03-18T12:51:45.000+0000,,Play-6,001F900001r1qs1IAA,Hospitality,Grand Hotels & Resorts Ltd,(312) 596-1000,www.grandhotels.com
New York,,,NY,"1301 Avenue of the Americas 
New York, NY 10019
USA",2025-03-18T12:51:45.000+0000,,Play-7,001F900001r1qs2IAA,Energy,United Oil & Gas Corp.,(212) 842-5500,http://www.uos.com
Portland,,,OR,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",2025-03-18T12:51:45.000+0000,,Play-8,001F900001r1qs3IAA,Transportation,Express Logistics and Transport,(503) 421-7800,www.expressl&t.net
Tucson,,,AZ,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",2025-03-18T12:51:45.000+0000,,Play-9,001F900001r1qs4IAA,Education,University of Arizona,(520) 773-9050,www.universityofarizona.com
,,,UK,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",2025-03-18T12:51:45.000+0000,,Play-10,001F900001r1qs5IAA,Energy,"United Oil & Gas, UK",+44 191 4956203,http://www.uos.com
Singapore,,,Singapore,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",2025-03-18T12:51:45.000+0000,,Play-11,001F900001r1qs6IAA,Energy,"United Oil & Gas, Singapore",(650) 450-8810,http://www.uos.com
Mountain View,,,CA,"345 Shoreline Park
Mountain View, CA 94043
USA",2025-03-18T12:51:45.000+0000,,Play-12,001F900001r1qs7IAA,Biotechnology,GenePoint,(650) 867-3450,www.genepoint.com
San Francisco,US,94087,CA,The Landmark @ One Market,2025-03-18T12:51:45.000+0000,,Play-13,001F900001r1qs8IAA,,sForce,(415) 901-7000,www.sforce.com
