Account.Name,AccountId,Amount,CloseDate,CreatedDate,Description,Difficulty__c,Id,LeadSource,Name,Probability,StageName,Type
Dickenson plc,001F900001r1qs0IAA,15000,2025-01-24,2025-03-18T12:51:45.000+0000,,20,,Purchased List,Dickenson Mobile Generators,10,Qualification,New Customer
Grand Hotels & Resorts Ltd,001F900001r1qs1IAA,15000,2024-12-03,2025-03-18T12:51:45.000+0000,,50,,,Grand Hotels Kitchen Generator,60,Id. Decision Makers,Existing Customer - Upgrade
United Oil & Gas Corp.,001F900001r1qs2IAA,270000,2025-02-26,2025-03-18T12:51:45.000+0000,,45,,,United Oil Refinery Generators,75,Proposal/Price Quote,Existing Customer - Upgrade
United Oil & Gas Corp.,001F900001r1qs2IAA,120000,2025-03-05,2025-03-18T12:51:45.000+0000,,32,,Partner,United Oil SLA,100,Closed Won,Existing Customer - Upgrade
Grand Hotels & Resorts Ltd,001F900001r1qs1IAA,250000,2025-03-13,2025-03-18T12:51:45.000+0000,,43,,Employee Referral,Grand Hotels Guest Portable Generators,50,Value Proposition,Existing Customer - Upgrade
Edge Communications,001F900001r1qrxIAA,75000,2025-03-13,2025-03-18T12:51:45.000+0000,,80,,Word of Mouth,Edge Emergency Generator,100,Closed Won,New Customer
University of Arizona,001F900001r1qs4IAA,50000,2024-12-12,2025-03-18T12:51:45.000+0000,,50,,Public Relations,University of AZ Portable Generators,100,Closed Won,New Customer
United Oil & Gas Corp.,001F900001r1qs2IAA,125000,2025-01-12,2025-03-18T12:51:45.000+0000,,50,,,United Oil Office Portable Generators,90,Negotiation/Review,Existing Customer - Upgrade
Express Logistics and Transport,001F900001r1qs3IAA,220000,2024-12-08,2025-03-18T12:51:45.000+0000,,90,,Trade Show,Express Logistics Standby Generator,100,Closed Won,New Customer
GenePoint,001F900001r1qs7IAA,85000,2025-01-15,2025-03-18T12:51:45.000+0000,,40,,Partner,GenePoint Standby Generator,100,Closed Won,New Customer
Pyramid Construction Inc.,001F900001r1qrzIAA,100000,2025-01-20,2025-03-18T12:51:45.000+0000,,10,,Phone Inquiry,Pyramid Emergency Generators,10,Prospecting,
Express Logistics and Transport,001F900001r1qs3IAA,80000,2024-12-06,2025-03-18T12:51:45.000+0000,,10,,External Referral,Express Logistics Portable Truck Generators,50,Value Proposition,Existing Customer - Upgrade
GenePoint,001F900001r1qs7IAA,60000,2025-03-07,2025-03-18T12:51:45.000+0000,,80,,,GenePoint Lab Generators,60,Id. Decision Makers,
GenePoint,001F900001r1qs7IAA,30000,2025-03-10,2025-03-18T12:51:45.000+0000,,65,,Partner,GenePoint SLA,100,Closed Won,Existing Customer - Upgrade
United Oil & Gas Corp.,001F900001r1qs2IAA,270000,2025-01-08,2025-03-18T12:51:45.000+0000,,70,,,United Oil Installations,90,Negotiation/Review,Existing Customer - Upgrade
Edge Communications,001F900001r1qrxIAA,50000,2025-01-02,2025-03-18T12:51:45.000+0000,,20,,Word of Mouth,Edge Installation,100,Closed Won,Existing Customer - Upgrade
Edge Communications,001F900001r1qrxIAA,60000,2024-11-28,2025-03-18T12:51:45.000+0000,,30,,Word of Mouth,Edge SLA,100,Closed Won,Existing Customer - Upgrade
United Oil & Gas Corp.,001F900001r1qs2IAA,270000,2025-01-07,2025-03-18T12:51:45.000+0000,,50,,Partner,United Oil Installations,100,Closed Won,Existing Customer - Upgrade
Grand Hotels & Resorts Ltd,001F900001r1qs1IAA,350000,2025-02-24,2025-03-18T12:51:45.000+0000,,45,,External Referral,Grand Hotels Generator Installations,100,Closed Won,Existing Customer - Upgrade
United Oil & Gas Corp.,001F900001r1qs2IAA,915000,2025-02-19,2025-03-18T12:51:45.000+0000,,90,,Partner,United Oil Refinery Generators,100,Closed Won,New Customer
University of Arizona,001F900001r1qs4IAA,100000,2024-12-09,2025-03-18T12:51:45.000+0000,,10,,Employee Referral,University of AZ Installations,75,Proposal/Price Quote,Existing Customer - Upgrade
Express Logistics and Transport,001F900001r1qs3IAA,120000,2024-12-07,2025-03-18T12:51:45.000+0000,,60,,External Referral,Express Logistics SLA,70,Perception Analysis,Existing Customer - Upgrade
University of Arizona,001F900001r1qs4IAA,90000,2024-12-16,2025-03-18T12:51:45.000+0000,,30,,Public Relations,University of AZ SLA,100,Closed Won,Existing Customer - Upgrade
Grand Hotels & Resorts Ltd,001F900001r1qs1IAA,90000,2024-12-05,2025-03-18T12:51:45.000+0000,,30,,External Referral,Grand Hotels SLA,100,Closed Won,Existing Customer - Upgrade
Burlington Textiles Corp of America,001F900001r1qryIAA,235000,2025-01-17,2025-03-18T12:51:45.000+0000,,20,,Web,Burlington Textiles Weaving Plant Generator,100,Closed Won,New Customer
United Oil & Gas Corp.,001F900001r1qs2IAA,235000,2025-01-19,2025-03-18T12:51:45.000+0000,,70,,External Referral,United Oil Installations,100,Closed Won,Existing Customer - Upgrade
United Oil & Gas Corp.,001F900001r1qs2IAA,440000,2025-01-01,2025-03-18T12:51:45.000+0000,,70,,External Referral,United Oil Emergency Generators,100,Closed Won,Existing Customer - Upgrade
United Oil & Gas Corp.,001F900001r1qs2IAA,120000,2025-03-06,2025-03-18T12:51:45.000+0000,,25,,External Referral,United Oil Standby Generators,100,Closed Won,Existing Customer - Upgrade
Grand Hotels & Resorts Ltd,001F900001r1qs1IAA,210000,2025-02-22,2025-03-18T12:51:45.000+0000,,100,,External Referral,Grand Hotels Emergency Generators,100,Closed Won,New Customer
United Oil & Gas Corp.,001F900001r1qs2IAA,675000,2025-02-05,2025-03-18T12:51:45.000+0000,,75,,,United Oil Plant Standby Generators,20,Needs Analysis,Existing Customer - Upgrade
Edge Communications,001F900001r1qrxIAA,35000,2025-03-19,2025-03-18T12:51:45.000+0000,,30,,,Edge Emergency Generator,60,Id. Decision Makers,Existing Customer - Replacement
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
